ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size
462809,Male,No,22,No,Healthcare,1,Low,4
462643,Female,Yes,38,Yes,Engineer,,Average,3
466315,Female,Yes,67,Yes,Engineer,1,Low,1
461735,Male,Yes,67,Yes,Lawyer,0,High,2
462669,Female,Yes,40,Yes,Entertainment,,High,6
461319,Male,Yes,56,No,Artist,0,Average,2
460156,Male,No,32,Yes,Healthcare,1,Low,3
464347,Female,No,33,Yes,Healthcare,1,Low,3
465015,Female,Yes,61,Yes,Engineer,0,Low,3
465176,Female,Yes,55,Yes,Artist,1,Average,4
464041,Female,No,26,Yes,Engineer,1,Low,3
464942,Male,No,19,No,Healthcare,4,Low,4
461230,Female,No,19,No,Executive,0,Low,
459573,Male,Yes,70,No,Lawyer,,Low,1
460849,Female,Yes,58,No,Doctor,0,Low,1
460563,Female,No,41,No,Healthcare,1,Low,2
466865,Female,No,32,No,Homemaker,9,Low,5
461644,Male,No,31,No,Healthcare,1,Low,6
466772,Male,Yes,58,Yes,Entertainment,1,Average,4
464291,Female,Yes,79,Yes,Artist,0,High,1
466084,Male,Yes,49,Yes,Homemaker,12,Low,1
459675,Female,No,18,No,Healthcare,3,Low,4
465602,Male,Yes,33,Yes,Artist,13,Low,2
459168,Female,No,36,Yes,Artist,5,Low,2
461021,Female,,58,No,Executive,1,Average,3
465083,Male,Yes,56,No,Artist,1,Average,3
467604,Male,No,31,No,Healthcare,9,Low,8
459717,Male,Yes,49,Yes,Artist,1,Average,3
465882,Male,No,35,Yes,Artist,0,Low,1
461996,Female,No,35,No,Artist,5,Low,4
463331,Female,Yes,45,Yes,Artist,0,Low,3
462216,Female,Yes,42,No,Doctor,1,Low,2
462454,Male,No,19,No,Healthcare,1,Low,3
467010,Male,No,26,No,Homemaker,9,Low,
459861,Female,Yes,83,No,Lawyer,1,High,2
467917,Female,No,27,Yes,Healthcare,3,Low,4
465572,Male,No,32,No,Doctor,5,Low,1
460593,Female,Yes,28,No,Healthcare,1,Average,5
465891,Female,Yes,28,Yes,Artist,8,Low,2
467442,Male,Yes,56,Yes,Artist,,Average,2
